LABEL                          LABEL                          USER           PID  PPID     VSZ    RSS WCHAN          ADDR S NAME                       
u:r:kernel:s0                  u:r:kernel:s0                  root            73     2       0      0 rescuer_thread    0 I [inet_frag_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root            74     2       0      0 kauditd_thread    0 S [kauditd]
u:r:kernel:s0                  u:r:kernel:s0                  root            76     2       0      0 watchdog          0 S [khungtaskd]
u:r:kernel:s0                  u:r:kernel:s0                  root            77     2       0      0 oom_reaper        0 S [oom_reaper]
u:r:kernel:s0                  u:r:kernel:s0                  root            78     2       0      0 rescuer_thread    0 I [writeback]
u:r:kernel:s0                  u:r:kernel:s0                  root            79     2       0      0 kcompactd         0 S [kcompactd0]
u:r:kernel:s0                  u:r:kernel:s0                  root            81     2       0      0 rescuer_thread    0 I [kblockd]
u:r:kernel:s0                  u:r:kernel:s0                  root            82     2       0      0 rescuer_thread    0 I [blkcg_punt_bio]
u:r:kernel:s0                  u:r:kernel:s0                  root            83     2       0      0 rescuer_thread    0 I [edac-poller]
u:r:kernel:s0                  u:r:kernel:s0                  root            84     2       0      0 rescuer_thread    0 I [devfreq_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root            85     2       0      0 kthread_worker_fn 0 S [watchdogd]
u:r:kernel:s0                  u:r:kernel:s0                  root            87     2       0      0 rescuer_thread    0 I [quota_release_w]
u:r:kernel:s0                  u:r:kernel:s0                  root            91     2       0      0 kswapd            0 S [kswapd0]
u:r:kernel:s0                  u:r:kernel:s0                  root            92     2       0      0 khppd             0 S [khppd]
u:r:kernel:s0                  u:r:kernel:s0                  root            93     2       0      0 rescuer_thread    0 I [cifsiod]
u:r:kernel:s0                  u:r:kernel:s0                  root            94     2       0      0 rescuer_thread    0 I [smb3decryptd]
u:r:kernel:s0                  u:r:kernel:s0                  root            95     2       0      0 rescuer_thread    0 I [cifsfileinfoput]
u:r:kernel:s0                  u:r:kernel:s0                  root            96     2       0      0 rescuer_thread    0 I [cifsoplockd]
u:r:kernel:s0                  u:r:kernel:s0                  root            97     2       0      0 rescuer_thread    0 I [deferredclose]
u:r:kernel:s0                  u:r:kernel:s0                  root            98     2       0      0 rescuer_thread    0 I [serverclose]
u:r:kernel:s0                  u:r:kernel:s0                  root           100     2       0      0 kthread_worker_fn 0 S [erofs_worker/0]
u:r:kernel:s0                  u:r:kernel:s0                  root           101     2       0      0 kthread_worker_fn 0 S [erofs_worker/1]
u:r:kernel:s0                  u:r:kernel:s0                  root           102     2       0      0 kthread_worker_fn 0 S [erofs_worker/2]
