sha256	size	collected_utc	path
82f3f984bb5db1ed1d33ffd294e41dd906bb1909f1647d9434197917b7f55224	200	2026-08-18T22:22:03Z	device/init-emservice.rc
251c81fd770c12c5b310f9acb5b69685f59cec710e0bfb781d8fb45c337cf171	323	2026-08-18T22:22:03Z	device/engmode-service-state.txt
32f370b19dbad19145b377cb95c3d525c79463fa12e0a9231b4a10b635462d6b	770	2026-08-18T22:22:03Z	device/engmode-process-details.txt
5be7d25322e7829f816fa9172f5a3747d0a5e444ec0de7cec28d6551e2ee30cd	51493	2026-08-18T22:22:03Z	device/engmode-lsof.txt
54f123525ec25655790679e37036360de2d70d4857d7b48d6840b669a0b2c282	59246	2026-08-18T22:22:03Z	device/engmode-maps.txt
02ca52d8875d27b3dbaa39e1ac68689561d0ca6cbce5d5166bd657c5630ffcdc	2298	2026-08-18T22:22:03Z	device/engmode-fds.txt
517669a27c59df54eccba67956ee9c55b2e8766cc107fc627737074df13421ca	222	2026-08-18T22:22:03Z	device/binder-services-supplement.txt
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	2026-08-18T22:22:03Z	device/satsservice-dump.txt
