kind	origin	destination	size	sha256	collected_utc	command
configuration	/vendor/etc/init/vendor.samsung.hardware.security.engmode-service.rc	framework/vendor.samsung.hardware.security.engmode-service.rc	134	1b9392573103fb048232278ab333676738f267bbd647a00c899b2a6ec8d38361	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/vendor/etc/init/vendor.samsung.hardware.security.engmode-service.rc bs=1048576 status=none'
framework	/system/framework/framework.jar	framework/framework.jar	53915465	fc9127bda46f6b45f754d0db9f600a56de6beee35a2cdaf1f3916cb2458beeb4	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/framework/framework.jar bs=1048576 status=none'
framework	/system/framework/services.jar	framework/services.jar	26519244	9f20a26dc4c7aa599729847b9a0a50978ce754d9c135ce20399264baa724cfe4	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/framework/services.jar bs=1048576 status=none'
apk	/system/app/FactoryAirCommandManager/FactoryAirCommandManager.apk	framework/FactoryAirCommandManager.apk	267667	b385df9b2d1ab5a0980585e7ea6a006aa21a2daa2abbc2a826363bb7889bd43a	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/app/FactoryAirCommandManager/FactoryAirCommandManager.apk bs=1048576 status=none'
apk	/system/app/Rampart/Rampart.apk	framework/Rampart.apk	7508688	4e650daf0216c7fce1a125d58ae9071d6adaf4683bdefc395afd3313f5c6bca0	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/app/Rampart/Rampart.apk bs=1048576 status=none'
apk	/system/app/HMT/HMT.apk	framework/HMT.apk	3050730	5ecc613d5e0c71c08abd65cfaf126a377c8e2650bb79f04a02ab5e5beabc6820	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/app/HMT/HMT.apk bs=1048576 status=none'
apk	/system/priv-app/serviceModeApp_FB/serviceModeApp_FB.apk	framework/serviceModeApp_FB.apk	483886	4708ba0aebbabb42fbfba7d62b4ccff106a23cf62b2016d32e861471c51535d5	2026-08-18T21:38:10Z	adb exec-out su -c 'dd if=/system/priv-app/serviceModeApp_FB/serviceModeApp_FB.apk bs=1048576 status=none'
apk	/system/priv-app/SecSettings/SecSettings.apk	framework/SecSettings.apk	122452993	cc14a70458adf6c43b3d2341f9e349a57a58150a7b0c25e7c327656d949b83f6	2026-08-24T21:40:53Z	adb exec-out 'dd if=/system/priv-app/SecSettings/SecSettings.apk bs=1048576 status=none'
apk	/data/app/~~JcCzH3TAoBcrJHZ7JYvl5Q==/com.samsung.android.kmxservice-i1k7_TpHRHrmZLnDVJ7Udg==/base.apk	framework/KmxService.apk	44982308	c9bdf0432f04b58c1acad6e251e3341ee5ee16d159a56f1899b45a38786dc64b	2026-08-24T21:40:53Z	adb exec-out 'dd if=/data/app/~~JcCzH3TAoBcrJHZ7JYvl5Q==/com.samsung.android.kmxservice-i1k7_TpHRHrmZLnDVJ7Udg==/base.apk bs=1048576 status=none'
apk	/system/priv-app/KmxService/KmxService.apk	framework/KmxService-stock.apk	44479673	c35905127d78719b47dc327e92a19162026a053300ee4e44cf67cd5aeaa00e91	2026-08-24T21:40:53Z	adb exec-out su -c 'dd if=/system/priv-app/KmxService/KmxService.apk bs=1048576 status=none'
package-dump	com.android.settings	device/package-settings.txt	675462	54fc4fc87d329b227534f514dbdbffbb16929d068ddb9f4ad40307748ca7c53e	2026-08-24T21:40:53Z	adb shell dumpsys package com.android.settings
package-dump	com.samsung.android.kmxservice	device/package-kmxservice.txt	67192	e52f2f27486f426fd7cd483c2a0ae4773489ba383e0032688d2f3717fbfb0fb8	2026-08-24T21:40:53Z	adb shell dumpsys package com.samsung.android.kmxservice
package-query	com.samsung.android.kmxservice.trustchain.CHANGE_OEM_UNLOCK_ALLOWED	device/oem-unlock-action-components.txt	2777	6eaafc4d63736f85e84e28db68876ccd7a62ecbb3176c95a994527c5491f4450	2026-08-24T21:40:53Z	adb shell cmd package query-{activities,receivers,services} -a com.samsung.android.kmxservice.trustchain.CHANGE_OEM_UNLOCK_ALLOWED
runtime-state	oem-lock-properties	device/oem-lock-state.txt	127	c6f91b62996d572ffcb134894c01fb61bea8a799ffd86083b12622abb212d47f	2026-08-24T21:40:53Z	adb shell 'getenforce; getprop ro.oem_unlock_supported; getprop sys.oem_unlock_allowed; getprop ro.boot.flash.locked; getprop ro.boot.vbmeta.device_state'
runtime-inventory	oem-lock-services	device/oem-lock-services.txt	2148	a3396027d43269e646c5e688fe587f85b0e5c67bab82639894f18f6dc8b6c711	2026-08-24T21:40:53Z	adb shell 'service list; lshal; /vendor/etc/vintf/manifest.xml filters for oemlock/vaultkeeper/kmx/trust'
