sha256	size	path	producer
6fa5c21a0c2bda63510eb4543407f5113cab0656d026e8077c11342999e74454	67342	decompiled/uefi-memcardinfo-producer-analysis.txt	see report/provenance manifests
e2886f1c91604d50a59ddd5006e1c1443f6aa2cf86ef09c3e2a492d31129e4c9	31552	decompiled/vulnerability-surface-analysis.txt	see report/provenance manifests
cac8329ed9da93c616303a3e3bfe1466c5548ee4486fd55f9f52770502f9aa40	36431	notes/findings.md	manual synthesis of cited primary/derived evidence
9e2c2af052f8f596bd300885572614d045c7a59254200b3a0b8847b3dfc93bd8	3804	notes/historical-daseul-ess.md	manual synthesis of cited historical public evidence
d54e261be9a6756f88c1e65e70f16ab3e7d75d6aefa437253bd3c6e692ea1be3	10762	notes/original-research.md	see report/provenance manifests
edd88048a91efb37f00d45c589b6dd44b9ff8f56a5c29949f515ff09d3cff5bd	1113	scripts/_probe_ufsdxe.py	source procedure
c69ea393395fb6440616ec5243263e614cf6e717217d153fe7b9181ae61c23ab	2618	scripts/_resolve_ufsdxe_base.py	source procedure
e6822e28c7dcad588b8e7ca2f0d4bc456edc73110053634d5a50bda8f70d8d97	26032	scripts/abl_audit.py	source procedure
ea2093e928918be6da4b504ff6065d2c87ae863257218bd77ae1eee384569334	25977	scripts/abl_audit_czd1.py	source procedure
73ae4604bbcc546820cd258ee38e27356c5ad761a664b771f23ee98f005acfc3	61872	scripts/abl_inner_fv_analysis.py	source procedure
af855b157671d64a1ea314e4cbeba0c11cb347e8d2b19a3c4dab89cf3bad3aef	17516	scripts/abl_post_unlock_analysis.py	source procedure
32f252d113d699907a21aa54316e2c8f446ebb78ec0aa35808d04d34855fe3bc	1238	scripts/adrp_targets.py	source procedure
a41fa207a772d11921b01f94155c4e27f986d12703cecbc053bb76f9471f688c	723	scripts/all_adrp.py	source procedure
7b9fae8f86790c0de94a3e0c6ff1edb3ba2d0d892df0c435a3427148d68ac2d1	2623	scripts/build_derived_manifest.py	source procedure
3d847fae4c8bcb3a5d464189a7a4cd409f72083eef5f70b7f44f5250d9c8b8fe	4956	scripts/collect_runtime_readonly.sh	source procedure
746d1db49818521d1cc02af0f55ee46ea99f26e8710c02d90e6466cf3d5ddf98	2909	scripts/collect_runtime_supplement_readonly.sh	source procedure
80efd6541afa1dc0552fc86bb452963e780be64f63780713199831950894e653	3007	scripts/deep_producer_audit.py	source procedure
91ff196b92867e7546d8a3c94752b491c09d61482138e14e1c8c6724cba4f5a7	2218	scripts/detailed_producer_analysis.py	source procedure
297747baa9205d20a9c15edcbb3057aa4c1116cb0e0ab488178d66089f5a6ac5	12846	scripts/devinfo_root_stageability.py	source procedure
edeabce0b9cf393984f8d52b5cb9d5589e6f854974f61c1308272dd3933a7d2d	24480	scripts/dex_audit.py	source procedure
ff9590dfcef61ec0be61d15be36e1e5621f136e8a70cbc89fab3416a5cc3b774	2638	scripts/disasm_calls.py	source procedure
be68de08873f4f67411a3b0e1ca30564c146a23aec81f10102969ecf2a2ec69d	6023	scripts/dxe_fv_analysis.py	source procedure
cb148dbd22653de16d1cea08405d017a5aefad6781c50299f6f03cd6f079d0ca	4923	scripts/elf_decode.py	source procedure
78f97217df319377a71c4d19d918048549cdbcaaab22e57d66cf4db5f91bc9d0	899	scripts/entry_disasm.py	source procedure
a00711078a1861ad1f005dd57cf441e9887e9e0575a4725afda93d408cdfa74e	3759	scripts/exact_xref_analysis.py	source procedure
e70e7767709ad93b62cd60b27f9e07db8e9492d2175e0af6b2c49283fbeb6afa	4557	scripts/extract_dxe_fv.py	source procedure
8283411312c13f903b9138538130d6943b304f07a2b9181c32a415c240e44dd3	5462	scripts/extract_linuxloader.py	source procedure
a85612dfa5896a3f4ac2857a2ddfba94c8d60e53bf18e36d462f3d94b80b262f	5500	scripts/extract_ufsdxe.py	source procedure
368dad8c07fd6b0e09b43366757a851b01b1dc8a64e38796fe553355f54aa9a2	1477	scripts/find_all_installs.py	source procedure
4ee9c8677da9cf732b817120e04680e98f1e3ab5017051bd85aa430f69e9d88a	2211	scripts/import_oneui7_abl.py	source procedure
f4d64706d971631f4e8d216ca3c73c2b8a8e3b13071d3e2947fc5743b2abeedf	657	scripts/main_init_disasm.py	source procedure
455a5bf689d5f1983d5e09fea23dfdad6ad4fce71f6de346b332ca03d171ed1e	18062	scripts/native_audit.py	source procedure
263c951b0d467840b8975591d940539b1e2c6a893d6317639cd325dd10281886	1429	scripts/pe_disasm.py	source procedure
5422cacd3314d3f7a97e64b686efea1bf4295acbf621a55a383b61485a0bafe6	1308	scripts/probe_engmode_readonly.sh	source procedure
9f1f3c39db96c071279e0316a92e41a6e544b51277a4ecdeff2d058841a95eef	7886	scripts/pull_artifacts_readonly.sh	source procedure
2a931a7083fcb59e0b47eb96baa038798f814d5c05bf4f4d94c7d07a42a0e287	2528	scripts/reloc_analysis.py	source procedure
b107edf015c295989978ae55a72a79e0a133fa181255f7231efb4bd326b3b1b4	4554	scripts/reverse_protocol_install.py	source procedure
5cad96b9a855c163238c7f190c4b281d60a2ce481c49d6cc6f62af07d5f39acd	40710	scripts/root_to_boot_analysis.py	source procedure
a75562aed88adbd7c26255282404a226f252f31fe4b4e44b0999fe3390c820b5	1254	scripts/scan_data_xrefs.py	source procedure
638759baa3038c0a0aab76c45c8c59ed3276bdb8e8e39a1e6da95e42ce8f22ff	1113	scripts/services_dex_audit.sh	source procedure
953f7ebb31f3c51e3574ba649b4a5572c3a80fb31b04070af1b7fcf24d32d8d7	18224	scripts/ta_audit.py	source procedure
f2d270e63d4fee96b81114c2a940981de587dbeebf311c897d8707cadd91b9b9	35526	scripts/ta_audit_czd1.py	source procedure
0057210abb7f646445be8621cd659c25113579967d7b6ed2ec328c063b455966	5151	scripts/uefi_protocol_producer_audit.py	source procedure
11c425c03bcee72b176c76bf6edcdaa87bbf76a095b7e37c5676235ff9442f65	41397	scripts/vulnerability_surface_audit.py	source procedure
